address,lat,lon
"магазин Мир Электроники, проспект Карла Маркса, 8​8",53.410351,58.977614
"электротовары Эсма, проспект Карла Маркса, 141",53.38444,58.979716
"Континент, Мвидео, Ленина 83",53.402729,58.987622
"МГТУ им. Г.И. Носова, Ленина 38",53.422121,58.982483
"проспект Ленина, 141",53.363913,58.992886
"​проспект Карла Маркса, 160",53.38618,58.977039
"поселок ""Соты"", почтовый павильон",53.374927,58.921937
"Лента, проспект Ленина, 119",53.37593,58.991613
"Лента, Вокзальная 23",53.436327,58.963044
"Академический лицей, проспект Ленина, 124/3",53.383248,58.985457
"Гостиный двор, МВидео, проспект Карла Маркса, 153",53.378671,58.981549
"Метро, улица 50-летия Магнитки, 69",53.354935,58.950239
